sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
ENCSR000APH,https://www.encodeproject.org/files/ENCFF000CVU/@@download/ENCFF000CVU.fastq.gz,,2,H3K27ac,ENCSR000APU,2
ENCSR000APN,https://www.encodeproject.org/files/ENCFF000CKG/@@download/ENCFF000CKG.fastq.gz,,1,H3K27ac,ENCSR000APT,1
ENCSR000APN,https://www.encodeproject.org/files/ENCFF000CKH/@@download/ENCFF000CKH.fastq.gz,,2,H3K27ac,ENCSR000APT,2
ENCSR000AQW,https://www.encodeproject.org/files/ENCFF000AQI/@@download/ENCFF000AQI.fastq.gz,,1,H3K27ac,ENCSR000ASA,1
ENCSR000AQW,https://www.encodeproject.org/files/ENCFF000AQH/@@download/ENCFF000AQH.fastq.gz,,2,H3K27ac,ENCSR000ASA,2
ENCSR000ASJ,https://www.encodeproject.org/files/ENCFF000CEN/@@download/ENCFF000CEN.fastq.gz,,1,H3K27ac,ENCSR000AUU,1
ENCSR000ASJ,https://www.encodeproject.org/files/ENCFF000CEO/@@download/ENCFF000CEO.fastq.gz,,2,H3K27ac,ENCSR000AUU,2
ENCSR000AUI,https://www.encodeproject.org/files/ENCFF000AKR/@@download/ENCFF000AKR.fastq.gz,,1,H3K27ac,ENCSR000ASS,1
ENCSR000AUI,https://www.encodeproject.org/files/ENCFF000AKS/@@download/ENCFF000AKS.fastq.gz,,2,H3K27ac,ENCSR000ASS,2
ENCSR000AUP,https://www.encodeproject.org/files/ENCFF000ANT/@@download/ENCFF000ANT.fastq.gz,,1,H3K27ac,ENCSR000AUW,1
ENCSR000AUP,https://www.encodeproject.org/files/ENCFF000ANV/@@download/ENCFF000ANV.fastq.gz,,2,H3K27ac,ENCSR000AUW,1
ENCSR000AVF,https://www.encodeproject.org/files/ENCFF000AKL/@@download/ENCFF000AKL.fastq.gz,,1,H3K27ac,ENCSR000ASR,1
ENCSR000AVF,https://www.encodeproject.org/files/ENCFF000AKJ/@@download/ENCFF000AKJ.fastq.gz,,2,H3K27ac,ENCSR000ASR,2
