experiment_accession	is_control	matched_control_experiments	controlled_by_files	control_type	assay_title	description	lab	award	date_released	status_exp	dbxrefs	life_stage_age	perturbed	donor_accession	donor_sex	donor_life_stage	donor_age	donor_age_units	donor_ethnicity	organism	biosample_term_id	biosample_term_name	classification	organ_slims	cell_slims	developmental_slims	system_slims	biosample_synonyms	target_label	target_title	file_accession	file_format	output_type	assembly	run_type	paired_end	paired_accession	md5sum	file_status	file_size	platform	bio_replicate_count	tech_replicate_count	biological_replicates	technical_replicates	biological_replicates_formatted	replication_type	url	fastq_1	fastq_2	url_r2	md5sum_r2	file_size_r2	file_accession_r2	single_end
ENCSR000ALK	False	ENCSR000ALS	ENCFF000CMD		Histone ChIP-seq	Homo sapiens keratinocyte female	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	SCREEN-GRCh38:keratinocyte_female_donor_ENCDO268AAA,UCSC-ENCODE-hg19:wgEncodeEH000064,GEO:GSM733674		False	ENCDO268AAA	female	unknown	unknown		African American	Homo sapiens	CL:0000312	keratinocyte	primary cell	epithelium,skin of body	epithelial cell,keratinocyte	ectoderm	integumental system	malpighian cell,keratinized cell of epidermis	H3K27ac	H3K27ac (Homo sapiens)	ENCFF000CNN	fastq	reads		single-ended			eace9922f5eaad875f32135e619fa6fc	released	1140565152	Illumina Genome Analyzer IIx	3	3	1	1_1	Rep 1	isogenic	https://www.encodeproject.org/files/ENCFF000CNN/@@download/ENCFF000CNN.fastq.gz	https://www.encodeproject.org/files/ENCFF000CNN/@@download/ENCFF000CNN.fastq.gz						true
ENCSR000ALK	False	ENCSR000ALS	ENCFF000CMD		Histone ChIP-seq	Homo sapiens keratinocyte female	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	SCREEN-GRCh38:keratinocyte_female_donor_ENCDO268AAA,UCSC-ENCODE-hg19:wgEncodeEH000064,GEO:GSM733674		False	ENCDO268AAA	female	unknown	unknown		African American	Homo sapiens	CL:0000312	keratinocyte	primary cell	epithelium,skin of body	epithelial cell,keratinocyte	ectoderm	integumental system	malpighian cell,keratinized cell of epidermis	H3K27ac	H3K27ac (Homo sapiens)	ENCFF000CNL	fastq	reads		single-ended			197ca1a8c3702551d8fd384272f1784e	released	411204367	Illumina Genome Analyzer IIe	3	3	2	2_1	Rep 2	isogenic	https://www.encodeproject.org/files/ENCFF000CNL/@@download/ENCFF000CNL.fastq.gz	https://www.encodeproject.org/files/ENCFF000CNL/@@download/ENCFF000CNL.fastq.gz						true
ENCSR000ALW	False	ENCSR000AMN	ENCFF000BHE,ENCFF556RIX,ENCFF913IHA,ENCFF788YKS,ENCFF749GHL		Histone ChIP-seq	Homo sapiens mammary epithelial cell female adult (50 years)	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	GEO:GSM733660,SCREEN-GRCh38:mammary_epithelial_cell_female_adult,UCSC-ENCODE-hg19:wgEncodeEH000076	adult 50 years	False	ENCDO830BUW	female	adult	50	year	European	Homo sapiens	CL:0002327	mammary epithelial cell	primary cell	epithelium,exocrine gland,mammary gland	epithelial cell	ectoderm	integumental system,exocrine system	breast epithelial cell,mammary epithelial cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF000BIL	fastq	reads		single-ended			ca41de7170b003ec95164f40acb733ca	released	680629724	Illumina Genome Analyzer IIe	2	2	1	1_1	Rep 1	isogenic	https://www.encodeproject.org/files/ENCFF000BIL/@@download/ENCFF000BIL.fastq.gz	https://www.encodeproject.org/files/ENCFF000BIL/@@download/ENCFF000BIL.fastq.gz						true
ENCSR000ALW	False	ENCSR000AMN	ENCFF000BHF,ENCFF702WJD,ENCFF152UJF		Histone ChIP-seq	Homo sapiens mammary epithelial cell female adult (50 years)	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	GEO:GSM733660,SCREEN-GRCh38:mammary_epithelial_cell_female_adult,UCSC-ENCODE-hg19:wgEncodeEH000076	adult 50 years	False	ENCDO830BUW	female	adult	50	year	European	Homo sapiens	CL:0002327	mammary epithelial cell	primary cell	epithelium,exocrine gland,mammary gland	epithelial cell	ectoderm	integumental system,exocrine system	breast epithelial cell,mammary epithelial cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF000BIM	fastq	reads		single-ended			15f394868da20bee66feabeaa5cb33a5	released	461123058	Illumina Genome Analyzer IIx	2	2	2	2_1	Rep 2	isogenic	https://www.encodeproject.org/files/ENCFF000BIM/@@download/ENCFF000BIM.fastq.gz	https://www.encodeproject.org/files/ENCFF000BIM/@@download/ENCFF000BIM.fastq.gz						true
ENCSR000AMO	False	ENCSR055XHN	ENCFF642ZJC,ENCFF162ADN,ENCFF474ZPM,ENCFF066LYG		Histone ChIP-seq	Homo sapiens HepG2	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	GEO:GSM733743,UCSC-ENCODE-hg19:wgEncodeEH000094,SCREEN-GRCh38:HepG2	child 15 years	False	ENCDO000AAC	male	child	15	year	European	Homo sapiens	EFO:0001187	HepG2	cell line	epithelium,endocrine gland,liver,exocrine gland	epithelial cell,cancer cell	endoderm	endocrine system,exocrine system,digestive system	Hep-G2,HepG2 cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF000BFD	fastq	reads		single-ended			3421a12faae2d7784c4443905295f57b	released	218065072	Illumina Genome Analyzer IIe	3	4	1	1_1	Rep 1	isogenic	https://www.encodeproject.org/files/ENCFF000BFD/@@download/ENCFF000BFD.fastq.gz	https://www.encodeproject.org/files/ENCFF000BFD/@@download/ENCFF000BFD.fastq.gz						true
ENCSR000AMO	False	ENCSR055XHN	ENCFF608CWZ,ENCFF356QYZ,ENCFF369RYY,ENCFF854ELY,ENCFF653JWL,ENCFF881CNC		Histone ChIP-seq	Homo sapiens HepG2	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	GEO:GSM733743,UCSC-ENCODE-hg19:wgEncodeEH000094,SCREEN-GRCh38:HepG2	child 15 years	False	ENCDO000AAC	male	child	15	year	European	Homo sapiens	EFO:0001187	HepG2	cell line	epithelium,endocrine gland,liver,exocrine gland	epithelial cell,cancer cell	endoderm	endocrine system,exocrine system,digestive system	Hep-G2,HepG2 cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF000BFH	fastq	reads		single-ended			45c76db5180efd279ee1b15616941339	released	324209639	Illumina Genome Analyzer IIx	3	4	2	2_1	Rep 2	isogenic	https://www.encodeproject.org/files/ENCFF000BFH/@@download/ENCFF000BFH.fastq.gz	https://www.encodeproject.org/files/ENCFF000BFH/@@download/ENCFF000BFH.fastq.gz						true
ENCSR000AMO	False	ENCSR055XHN			Histone ChIP-seq	Homo sapiens HepG2	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	GEO:GSM733743,UCSC-ENCODE-hg19:wgEncodeEH000094,SCREEN-GRCh38:HepG2	child 15 years	False	ENCDO000AAC	male	child	15	year	European	Homo sapiens	EFO:0001187	HepG2	cell line	epithelium,endocrine gland,liver,exocrine gland	epithelial cell,cancer cell	endoderm	endocrine system,exocrine system,digestive system	Hep-G2,HepG2 cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF130TZW	fastq	reads		paired-ended	1	ENCFF087XCQ	d98c63f07e684e3fff535116590783dd	released	844477326	Illumina HiSeq 2500	3	4	3	3_1	Rep 3	isogenic	https://www.encodeproject.org/files/ENCFF130TZW/@@download/ENCFF130TZW.fastq.gz	https://www.encodeproject.org/files/ENCFF130TZW/@@download/ENCFF130TZW.fastq.gz	https://www.encodeproject.org/files/ENCFF087XCQ/@@download/ENCFF087XCQ.fastq.gz	https://www.encodeproject.org/files/ENCFF087XCQ/@@download/ENCFF087XCQ.fastq.gz	4b8d91fb6bfe9a515a3db0327deac891	643908824	ENCFF087XCQ	false
ENCSR000AMO	False	ENCSR055XHN			Histone ChIP-seq	Homo sapiens HepG2	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	GEO:GSM733743,UCSC-ENCODE-hg19:wgEncodeEH000094,SCREEN-GRCh38:HepG2	child 15 years	False	ENCDO000AAC	male	child	15	year	European	Homo sapiens	EFO:0001187	HepG2	cell line	epithelium,endocrine gland,liver,exocrine gland	epithelial cell,cancer cell	endoderm	endocrine system,exocrine system,digestive system	Hep-G2,HepG2 cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF515INE	fastq	reads		paired-ended	1	ENCFF473WTU	32aaa99245812097b325fef247abd810	released	809331400	Illumina HiSeq 2500	3	4	3	3_1	Rep 3	isogenic	https://www.encodeproject.org/files/ENCFF515INE/@@download/ENCFF515INE.fastq.gz	https://www.encodeproject.org/files/ENCFF515INE/@@download/ENCFF515INE.fastq.gz	https://www.encodeproject.org/files/ENCFF473WTU/@@download/ENCFF473WTU.fastq.gz	https://www.encodeproject.org/files/ENCFF473WTU/@@download/ENCFF473WTU.fastq.gz	ccaa351234e021ee0827e65723604574	627754679	ENCFF473WTU	false
ENCSR000AMO	False	ENCSR055XHN			Histone ChIP-seq	Homo sapiens HepG2	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	GEO:GSM733743,UCSC-ENCODE-hg19:wgEncodeEH000094,SCREEN-GRCh38:HepG2	child 15 years	False	ENCDO000AAC	male	child	15	year	European	Homo sapiens	EFO:0001187	HepG2	cell line	epithelium,endocrine gland,liver,exocrine gland	epithelial cell,cancer cell	endoderm	endocrine system,exocrine system,digestive system	Hep-G2,HepG2 cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF718PPI	fastq	reads		paired-ended	1	ENCFF117UJP	e9c3d87ecb3ab519d77bc021850406dd	released	646046188	Illumina HiSeq 2500	3	4	3	3_2	Rep 3	isogenic	https://www.encodeproject.org/files/ENCFF718PPI/@@download/ENCFF718PPI.fastq.gz	https://www.encodeproject.org/files/ENCFF718PPI/@@download/ENCFF718PPI.fastq.gz	https://www.encodeproject.org/files/ENCFF117UJP/@@download/ENCFF117UJP.fastq.gz	https://www.encodeproject.org/files/ENCFF117UJP/@@download/ENCFF117UJP.fastq.gz	ee0174568bb06a598f205e78ff3eac3a	505894213	ENCFF117UJP	false
ENCSR000AMO	False	ENCSR055XHN			Histone ChIP-seq	Homo sapiens HepG2	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	GEO:GSM733743,UCSC-ENCODE-hg19:wgEncodeEH000094,SCREEN-GRCh38:HepG2	child 15 years	False	ENCDO000AAC	male	child	15	year	European	Homo sapiens	EFO:0001187	HepG2	cell line	epithelium,endocrine gland,liver,exocrine gland	epithelial cell,cancer cell	endoderm	endocrine system,exocrine system,digestive system	Hep-G2,HepG2 cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF834LZS	fastq	reads		paired-ended	1	ENCFF193TTD	5c59ee626de7047fe6ee9615b2fc41ad	released	673845436	Illumina HiSeq 2500	3	4	3	3_2	Rep 3	isogenic	https://www.encodeproject.org/files/ENCFF834LZS/@@download/ENCFF834LZS.fastq.gz	https://www.encodeproject.org/files/ENCFF834LZS/@@download/ENCFF834LZS.fastq.gz	https://www.encodeproject.org/files/ENCFF193TTD/@@download/ENCFF193TTD.fastq.gz	https://www.encodeproject.org/files/ENCFF193TTD/@@download/ENCFF193TTD.fastq.gz	06f9694bec0cbf8337b89c65ca433b04	519480848	ENCFF193TTD	false
