experiment_accession	is_control	matched_control_experiments	controlled_by_files	control_type	assay_title	description	lab	award	date_released	status_exp	dbxrefs	life_stage_age	perturbed	donor_accession	donor_sex	donor_life_stage	donor_age	donor_age_units	donor_ethnicity	organism	biosample_term_id	biosample_term_name	classification	organ_slims	cell_slims	developmental_slims	system_slims	biosample_synonyms	target_label	target_title	file_accession	file_format	output_type	assembly	run_type	paired_end	paired_accession	md5sum	file_status	file_size	platform	bio_replicate_count	tech_replicate_count	biological_replicates	technical_replicates	biological_replicates_formatted	replication_type	url	fastq_1	fastq_2	url_r2	md5sum_r2	file_size_r2	file_accession_r2	single_end
ENCSR095YMD	False	ENCSR474WLZ	ENCFF279CHC,ENCFF433FBI,ENCFF614GOP,ENCFF583LPM		Histone ChIP-seq	Homo sapiens esophagus muscularis mucosa tissue female adult (53 years)	Bradley Bernstein, Broad	ENCODE3	2016-11-03	released	SCREEN-GRCh38:esophagus_muscularis_mucosa_female_adult_53_years,GEO:GSE101022	adult 53 years	False	ENCDO793LXB	female	adult	53	year		Homo sapiens	UBERON:0004648	esophagus muscularis mucosa	tissue	esophagus,musculature of body		mesoderm	digestive system,musculature	muscularis mucosae of esophagus,lamina muscularis mucosae (oesphagus),lamina muscularis of esophageal mucous membrane,esophagus muscularis mucosae	H3K27ac	H3K27ac (Homo sapiens)	ENCFF512DRA	fastq	reads		single-ended			4d2e737cbc7989b3b1b6608d246391ae	released	959116844	Illumina HiSeq 2500	1	1	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF512DRA/@@download/ENCFF512DRA.fastq.gz	https://www.encodeproject.org/files/ENCFF512DRA/@@download/ENCFF512DRA.fastq.gz						true
ENCSR095YMD	False	ENCSR474WLZ	ENCFF279CHC,ENCFF433FBI,ENCFF614GOP,ENCFF583LPM		Histone ChIP-seq	Homo sapiens esophagus muscularis mucosa tissue female adult (53 years)	Bradley Bernstein, Broad	ENCODE3	2016-11-03	released	SCREEN-GRCh38:esophagus_muscularis_mucosa_female_adult_53_years,GEO:GSE101022	adult 53 years	False	ENCDO793LXB	female	adult	53	year		Homo sapiens	UBERON:0004648	esophagus muscularis mucosa	tissue	esophagus,musculature of body		mesoderm	digestive system,musculature	muscularis mucosae of esophagus,lamina muscularis mucosae (oesphagus),lamina muscularis of esophageal mucous membrane,esophagus muscularis mucosae	H3K27ac	H3K27ac (Homo sapiens)	ENCFF907WMK	fastq	reads		single-ended			7fcae200af392b726e7669bc4075c3e4	released	991005737	Illumina HiSeq 2500	1	1	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF907WMK/@@download/ENCFF907WMK.fastq.gz	https://www.encodeproject.org/files/ENCFF907WMK/@@download/ENCFF907WMK.fastq.gz						true
ENCSR102GGG	False				Histone ChIP-seq	Homo sapiens CD14-positive monocyte	Manuel Garber, UMass	GGR	2017-10-12	released	GEO:GSE105106		False	ENCDO456UXD	unknown					Homo sapiens	CL:0001054	CD14-positive monocyte	primary cell	blood,bodily fluid	monocyte,myeloid cell,hematopoietic cell,leukocyte	mesoderm	immune system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF834HOB	fastq	reads		paired-ended	1	ENCFF629MBR	174a2eb58b20f0cb18f62ae6988f2537	released	400419098	Illumina NextSeq 500	1	1	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF834HOB/@@download/ENCFF834HOB.fastq.gz	https://www.encodeproject.org/files/ENCFF834HOB/@@download/ENCFF834HOB.fastq.gz	https://www.encodeproject.org/files/ENCFF629MBR/@@download/ENCFF629MBR.fastq.gz	https://www.encodeproject.org/files/ENCFF629MBR/@@download/ENCFF629MBR.fastq.gz	325d3e62fd7dba51297c06e6e823bfec	405664730	ENCFF629MBR	false
ENCSR102XUM	False	ENCSR491TAD	ENCFF133HKU		Histone ChIP-seq	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 0.5 hours	Tim Reddy, Duke	GGR	2016-07-21	released	GEO:GSE91201	adult 58 years	True	ENCDO000AAZ	male	adult	58	year	European	Homo sapiens	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	A549 cell,A-549	H3K27ac	H3K27ac (Homo sapiens)	ENCFF943CYX	fastq	reads		single-ended			1221dd2717dcfa2ea152221135176d4e	released	982161301	Illumina HiSeq 2000	3	3	1	1_1	Rep 1	isogenic	https://www.encodeproject.org/files/ENCFF943CYX/@@download/ENCFF943CYX.fastq.gz	https://www.encodeproject.org/files/ENCFF943CYX/@@download/ENCFF943CYX.fastq.gz						true
ENCSR102XUM	False	ENCSR491TAD	ENCFF619EHQ		Histone ChIP-seq	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 0.5 hours	Tim Reddy, Duke	GGR	2016-07-21	released	GEO:GSE91201	adult 58 years	True	ENCDO000AAZ	male	adult	58	year	European	Homo sapiens	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	A549 cell,A-549	H3K27ac	H3K27ac (Homo sapiens)	ENCFF432NFM	fastq	reads		single-ended			47fbd81c7a154b5d3e6db49b08463e0f	released	1814796845	Illumina HiSeq 2500	3	3	2	2_1	Rep 2	isogenic	https://www.encodeproject.org/files/ENCFF432NFM/@@download/ENCFF432NFM.fastq.gz	https://www.encodeproject.org/files/ENCFF432NFM/@@download/ENCFF432NFM.fastq.gz						true
ENCSR102XUM	False	ENCSR491TAD	ENCFF796VRG		Histone ChIP-seq	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 0.5 hours	Tim Reddy, Duke	GGR	2016-07-21	released	GEO:GSE91201	adult 58 years	True	ENCDO000AAZ	male	adult	58	year	European	Homo sapiens	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	A549 cell,A-549	H3K27ac	H3K27ac (Homo sapiens)	ENCFF436GPV	fastq	reads		single-ended			42e9359ed6368e32c43310a45c4a616b	released	1027919370	Illumina HiSeq 2500	3	3	3	3_1	Rep 3	isogenic	https://www.encodeproject.org/files/ENCFF436GPV/@@download/ENCFF436GPV.fastq.gz	https://www.encodeproject.org/files/ENCFF436GPV/@@download/ENCFF436GPV.fastq.gz						true
ENCSR105EMQ	False	ENCSR913DKN			Histone ChIP-seq	Homo sapiens peripheral blood mononuclear cell male adult (39 years)	Joseph Costello, UCSF	Roadmap	2013-07-31	released	SCREEN-GRCh38:peripheral_blood_mononuclear_cell_male_adult_39_years	adult 39 years	False	ENCDO424KSR	male	adult	39	year	European	Homo sapiens	CL:2000001	peripheral blood mononuclear cell	primary cell	blood,bodily fluid	hematopoietic cell,leukocyte,mononuclear cell	mesoderm	immune system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF173JTZ	fastq	reads		single-ended			1ebac4aa18dd463f9ae2325272d3eb6f	released		Illumina HiSeq 2000	1	1	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF173JTZ/@@download/ENCFF173JTZ.fastq.gz	https://www.encodeproject.org/files/ENCFF173JTZ/@@download/ENCFF173JTZ.fastq.gz						true
ENCSR105EMQ	False	ENCSR913DKN	ENCFF681JAA		Histone ChIP-seq	Homo sapiens peripheral blood mononuclear cell male adult (39 years)	Joseph Costello, UCSF	Roadmap	2013-07-31	released	SCREEN-GRCh38:peripheral_blood_mononuclear_cell_male_adult_39_years	adult 39 years	False	ENCDO424KSR	male	adult	39	year	European	Homo sapiens	CL:2000001	peripheral blood mononuclear cell	primary cell	blood,bodily fluid	hematopoietic cell,leukocyte,mononuclear cell	mesoderm	immune system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF882NUN	fastq	reads		single-ended			6585af63ef061f4642058c46241327dd	released	1622137256	Illumina HiSeq 2000	1	1	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF882NUN/@@download/ENCFF882NUN.fastq.gz	https://www.encodeproject.org/files/ENCFF882NUN/@@download/ENCFF882NUN.fastq.gz						true
ENCSR105VFR	False	ENCSR979YKY			Histone ChIP-seq	Homo sapiens heart left ventricle tissue male adult (55 years)	Bradley Bernstein, Broad	ENCODE4	2022-06-09	released	GEO:GSE208852	adult 55 years	False	ENCDO439CAZ	male	adult	55	year	European	Homo sapiens	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	left ventricle of heart,cardiac left ventricle,left ventricle,left cardiac ventricle	H3K27ac	H3K27ac (Homo sapiens)	ENCFF087DHJ	fastq	reads		single-ended			17cb611610c4ba780a5691a9354c17be	released	364951773	Illumina NextSeq 500	1	2	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF087DHJ/@@download/ENCFF087DHJ.fastq.gz	https://www.encodeproject.org/files/ENCFF087DHJ/@@download/ENCFF087DHJ.fastq.gz						true
ENCSR105VFR	False	ENCSR979YKY			Histone ChIP-seq	Homo sapiens heart left ventricle tissue male adult (55 years)	Bradley Bernstein, Broad	ENCODE4	2022-06-09	released	GEO:GSE208852	adult 55 years	False	ENCDO439CAZ	male	adult	55	year	European	Homo sapiens	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	left ventricle of heart,cardiac left ventricle,left ventricle,left cardiac ventricle	H3K27ac	H3K27ac (Homo sapiens)	ENCFF283RQY	fastq	reads		single-ended			21f1905fd8fe29f4de99bc81543661e6	released	368306953	Illumina NextSeq 500	1	2	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF283RQY/@@download/ENCFF283RQY.fastq.gz	https://www.encodeproject.org/files/ENCFF283RQY/@@download/ENCFF283RQY.fastq.gz						true
ENCSR105VFR	False	ENCSR979YKY			Histone ChIP-seq	Homo sapiens heart left ventricle tissue male adult (55 years)	Bradley Bernstein, Broad	ENCODE4	2022-06-09	released	GEO:GSE208852	adult 55 years	False	ENCDO439CAZ	male	adult	55	year	European	Homo sapiens	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	left ventricle of heart,cardiac left ventricle,left ventricle,left cardiac ventricle	H3K27ac	H3K27ac (Homo sapiens)	ENCFF419AWE	fastq	reads		single-ended			05acd7cb06568261bf1a35449bf51af0	released	363462879	Illumina NextSeq 500	1	2	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF419AWE/@@download/ENCFF419AWE.fastq.gz	https://www.encodeproject.org/files/ENCFF419AWE/@@download/ENCFF419AWE.fastq.gz						true
ENCSR105VFR	False	ENCSR979YKY			Histone ChIP-seq	Homo sapiens heart left ventricle tissue male adult (55 years)	Bradley Bernstein, Broad	ENCODE4	2022-06-09	released	GEO:GSE208852	adult 55 years	False	ENCDO439CAZ	male	adult	55	year	European	Homo sapiens	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	left ventricle of heart,cardiac left ventricle,left ventricle,left cardiac ventricle	H3K27ac	H3K27ac (Homo sapiens)	ENCFF700QKO	fastq	reads		single-ended			b616836c0dbcb67a52e9d82d5791d8cf	released	365274221	Illumina NextSeq 500	1	2	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF700QKO/@@download/ENCFF700QKO.fastq.gz	https://www.encodeproject.org/files/ENCFF700QKO/@@download/ENCFF700QKO.fastq.gz						true
ENCSR105VFR	False	ENCSR979YKY			Histone ChIP-seq	Homo sapiens heart left ventricle tissue male adult (55 years)	Bradley Bernstein, Broad	ENCODE4	2022-06-09	released	GEO:GSE208852	adult 55 years	False	ENCDO439CAZ	male	adult	55	year	European	Homo sapiens	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	left ventricle of heart,cardiac left ventricle,left ventricle,left cardiac ventricle	H3K27ac	H3K27ac (Homo sapiens)	ENCFF171UTE	fastq	reads		single-ended			3553b5ebf90a6f745d29fc8f7bd2be50	released	506029982	Illumina NextSeq 500	1	2	1	1_2	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF171UTE/@@download/ENCFF171UTE.fastq.gz	https://www.encodeproject.org/files/ENCFF171UTE/@@download/ENCFF171UTE.fastq.gz						true
ENCSR105VFR	False	ENCSR979YKY			Histone ChIP-seq	Homo sapiens heart left ventricle tissue male adult (55 years)	Bradley Bernstein, Broad	ENCODE4	2022-06-09	released	GEO:GSE208852	adult 55 years	False	ENCDO439CAZ	male	adult	55	year	European	Homo sapiens	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	left ventricle of heart,cardiac left ventricle,left ventricle,left cardiac ventricle	H3K27ac	H3K27ac (Homo sapiens)	ENCFF514BIN	fastq	reads		single-ended			3c348c33350ece8d81ffcc5ac2c3e83f	released	499148640	Illumina NextSeq 500	1	2	1	1_2	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF514BIN/@@download/ENCFF514BIN.fastq.gz	https://www.encodeproject.org/files/ENCFF514BIN/@@download/ENCFF514BIN.fastq.gz						true
ENCSR105VFR	False	ENCSR979YKY			Histone ChIP-seq	Homo sapiens heart left ventricle tissue male adult (55 years)	Bradley Bernstein, Broad	ENCODE4	2022-06-09	released	GEO:GSE208852	adult 55 years	False	ENCDO439CAZ	male	adult	55	year	European	Homo sapiens	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	left ventricle of heart,cardiac left ventricle,left ventricle,left cardiac ventricle	H3K27ac	H3K27ac (Homo sapiens)	ENCFF670BGR	fastq	reads		single-ended			77dd19430f494cfe3324bfcd0c00fc69	released	508523277	Illumina NextSeq 500	1	2	1	1_2	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF670BGR/@@download/ENCFF670BGR.fastq.gz	https://www.encodeproject.org/files/ENCFF670BGR/@@download/ENCFF670BGR.fastq.gz						true
ENCSR105VFR	False	ENCSR979YKY			Histone ChIP-seq	Homo sapiens heart left ventricle tissue male adult (55 years)	Bradley Bernstein, Broad	ENCODE4	2022-06-09	released	GEO:GSE208852	adult 55 years	False	ENCDO439CAZ	male	adult	55	year	European	Homo sapiens	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	left ventricle of heart,cardiac left ventricle,left ventricle,left cardiac ventricle	H3K27ac	H3K27ac (Homo sapiens)	ENCFF826WBN	fastq	reads		single-ended			4aeeaf2583ed3a3755b63c05bff180be	released	515326237	Illumina NextSeq 500	1	2	1	1_2	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF826WBN/@@download/ENCFF826WBN.fastq.gz	https://www.encodeproject.org/files/ENCFF826WBN/@@download/ENCFF826WBN.fastq.gz						true
ENCSR108NVQ	False	ENCSR214UPJ			Histone ChIP-seq	Homo sapiens foreskin fibroblast male newborn	Joseph Costello, UCSF	Roadmap	2013-07-31	released	GEO:GSM1127076,SCREEN-GRCh38:foreskin_fibroblast_male_newborn_group_1		False	ENCDO047TBB	male	newborn				Homo sapiens	CL:1001608	foreskin fibroblast	primary cell	penis,connective tissue,skin of body	connective tissue cell,fibroblast	ectoderm,mesoderm	integumental system,reproductive system	BJ fibroblast	H3K27ac	H3K27ac (Homo sapiens)	ENCFF068GHS	fastq	reads		paired-ended	1	ENCFF764IXG	c2ccb484993d3588b59969cd8bdafbce	released	2211756291	Illumina HiSeq 2000	1	1	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF068GHS/@@download/ENCFF068GHS.fastq.gz	https://www.encodeproject.org/files/ENCFF068GHS/@@download/ENCFF068GHS.fastq.gz	https://www.encodeproject.org/files/ENCFF764IXG/@@download/ENCFF764IXG.fastq.gz	https://www.encodeproject.org/files/ENCFF764IXG/@@download/ENCFF764IXG.fastq.gz	f577d096aa6d2aff6dcef5c73e52d98e	2260087102	ENCFF764IXG	false
ENCSR108NVQ	False	ENCSR214UPJ			Histone ChIP-seq	Homo sapiens foreskin fibroblast male newborn	Joseph Costello, UCSF	Roadmap	2013-07-31	released	GEO:GSM1127076,SCREEN-GRCh38:foreskin_fibroblast_male_newborn_group_1		False	ENCDO047TBB	male	newborn				Homo sapiens	CL:1001608	foreskin fibroblast	primary cell	penis,connective tissue,skin of body	connective tissue cell,fibroblast	ectoderm,mesoderm	integumental system,reproductive system	BJ fibroblast	H3K27ac	H3K27ac (Homo sapiens)	ENCFF187DZU	fastq	reads		paired-ended	1	ENCFF867ERT	10b49c9e331594ef3d414ac01a2eb610	released		Illumina HiSeq 2000	1	1	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF187DZU/@@download/ENCFF187DZU.fastq.gz	https://www.encodeproject.org/files/ENCFF187DZU/@@download/ENCFF187DZU.fastq.gz	https://www.encodeproject.org/files/ENCFF867ERT/@@download/ENCFF867ERT.fastq.gz	https://www.encodeproject.org/files/ENCFF867ERT/@@download/ENCFF867ERT.fastq.gz	f097e660957e51259c81208c5e8e861b		ENCFF867ERT	false
ENCSR111QCU	False	ENCSR000JGO	ENCFF700OYN		Histone ChIP-seq	Homo sapiens brain microvascular endothelial cell	Michael Snyder, Stanford	ENCODE4	2020-08-28	released	GEO:GSE167696		False	ENCDO227AAA	unknown	unknown	unknown			Homo sapiens	CL:2000044	brain microvascular endothelial cell	primary cell	epithelium,vasculature,blood vessel,brain	endothelial cell,neural cell,epithelial cell	ectoderm,mesoderm	circulatory system,central nervous system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF586SSF	fastq	reads		paired-ended	1	ENCFF270VHX	88cf6913819df12eff0fbfb909191f0d	released	4839100509	Illumina HiSeq 4000	2	2	1	1_1	Rep 1	isogenic	https://www.encodeproject.org/files/ENCFF586SSF/@@download/ENCFF586SSF.fastq.gz	https://www.encodeproject.org/files/ENCFF586SSF/@@download/ENCFF586SSF.fastq.gz	https://www.encodeproject.org/files/ENCFF270VHX/@@download/ENCFF270VHX.fastq.gz	https://www.encodeproject.org/files/ENCFF270VHX/@@download/ENCFF270VHX.fastq.gz	b9e1f2133fee37c2f44829e9f6ee1a78	5128133301	ENCFF270VHX	false
ENCSR111QCU	False	ENCSR000JGO	ENCFF700OYN		Histone ChIP-seq	Homo sapiens brain microvascular endothelial cell	Michael Snyder, Stanford	ENCODE4	2020-08-28	released	GEO:GSE167696		False	ENCDO227AAA	unknown	unknown	unknown			Homo sapiens	CL:2000044	brain microvascular endothelial cell	primary cell	epithelium,vasculature,blood vessel,brain	endothelial cell,neural cell,epithelial cell	ectoderm,mesoderm	circulatory system,central nervous system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF955KTA	fastq	reads		paired-ended	1	ENCFF811ZNM	ea1425b0fbaa0f3f499e52aa30bea86d	released	4536407344	Illumina HiSeq 4000	2	2	2	2_1	Rep 2	isogenic	https://www.encodeproject.org/files/ENCFF955KTA/@@download/ENCFF955KTA.fastq.gz	https://www.encodeproject.org/files/ENCFF955KTA/@@download/ENCFF955KTA.fastq.gz	https://www.encodeproject.org/files/ENCFF811ZNM/@@download/ENCFF811ZNM.fastq.gz	https://www.encodeproject.org/files/ENCFF811ZNM/@@download/ENCFF811ZNM.fastq.gz	9e8939122f2f3c718a86618f4475f91a	5144527337	ENCFF811ZNM	false
ENCSR116MKX	False	ENCSR708TMV			Histone ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (88 years)	Bradley Bernstein, Broad	ENCODE4	2021-06-24	released	GEO:GSE187048	adult 88 years	False	ENCDO151OJB	female	adult	88	year	European	Homo sapiens	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF106GBQ	fastq	reads		single-ended			f2eca53672192e1529704cd626ad8e6f	released	217185452	Illumina NextSeq 500	1	2	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF106GBQ/@@download/ENCFF106GBQ.fastq.gz	https://www.encodeproject.org/files/ENCFF106GBQ/@@download/ENCFF106GBQ.fastq.gz						true
ENCSR116MKX	False	ENCSR708TMV			Histone ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (88 years)	Bradley Bernstein, Broad	ENCODE4	2021-06-24	released	GEO:GSE187048	adult 88 years	False	ENCDO151OJB	female	adult	88	year	European	Homo sapiens	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF139FBJ	fastq	reads		single-ended			61f0c6f1c6fadc91dcbf33c8280874cd	released	217910729	Illumina NextSeq 500	1	2	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF139FBJ/@@download/ENCFF139FBJ.fastq.gz	https://www.encodeproject.org/files/ENCFF139FBJ/@@download/ENCFF139FBJ.fastq.gz						true
ENCSR116MKX	False	ENCSR708TMV			Histone ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (88 years)	Bradley Bernstein, Broad	ENCODE4	2021-06-24	released	GEO:GSE187048	adult 88 years	False	ENCDO151OJB	female	adult	88	year	European	Homo sapiens	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF199HWP	fastq	reads		single-ended			7bb522d7cc9f1914bf4df9ffb32e09b9	released	218553327	Illumina NextSeq 500	1	2	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF199HWP/@@download/ENCFF199HWP.fastq.gz	https://www.encodeproject.org/files/ENCFF199HWP/@@download/ENCFF199HWP.fastq.gz						true
ENCSR116MKX	False	ENCSR708TMV			Histone ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (88 years)	Bradley Bernstein, Broad	ENCODE4	2021-06-24	released	GEO:GSE187048	adult 88 years	False	ENCDO151OJB	female	adult	88	year	European	Homo sapiens	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF419HTK	fastq	reads		single-ended			7a68fcea50d42ee58d8f54d328a9cbb6	released	219390486	Illumina NextSeq 500	1	2	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF419HTK/@@download/ENCFF419HTK.fastq.gz	https://www.encodeproject.org/files/ENCFF419HTK/@@download/ENCFF419HTK.fastq.gz						true
ENCSR116MKX	False	ENCSR708TMV			Histone ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (88 years)	Bradley Bernstein, Broad	ENCODE4	2021-06-24	released	GEO:GSE187048	adult 88 years	False	ENCDO151OJB	female	adult	88	year	European	Homo sapiens	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF058XCC	fastq	reads		single-ended			ed86919aa563b93164458fd8a3e1eb24	released	283573199	Illumina NextSeq 500	1	2	1	1_2	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF058XCC/@@download/ENCFF058XCC.fastq.gz	https://www.encodeproject.org/files/ENCFF058XCC/@@download/ENCFF058XCC.fastq.gz						true
ENCSR116MKX	False	ENCSR708TMV			Histone ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (88 years)	Bradley Bernstein, Broad	ENCODE4	2021-06-24	released	GEO:GSE187048	adult 88 years	False	ENCDO151OJB	female	adult	88	year	European	Homo sapiens	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF122IQW	fastq	reads		single-ended			6419dd4c1f378496d23359f170b382ce	released	284950335	Illumina NextSeq 500	1	2	1	1_2	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF122IQW/@@download/ENCFF122IQW.fastq.gz	https://www.encodeproject.org/files/ENCFF122IQW/@@download/ENCFF122IQW.fastq.gz						true
ENCSR116MKX	False	ENCSR708TMV			Histone ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (88 years)	Bradley Bernstein, Broad	ENCODE4	2021-06-24	released	GEO:GSE187048	adult 88 years	False	ENCDO151OJB	female	adult	88	year	European	Homo sapiens	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF532HIR	fastq	reads		single-ended			43181745dd998ed12703455726ff330f	released	286507278	Illumina NextSeq 500	1	2	1	1_2	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF532HIR/@@download/ENCFF532HIR.fastq.gz	https://www.encodeproject.org/files/ENCFF532HIR/@@download/ENCFF532HIR.fastq.gz						true
ENCSR116MKX	False	ENCSR708TMV			Histone ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (88 years)	Bradley Bernstein, Broad	ENCODE4	2021-06-24	released	GEO:GSE187048	adult 88 years	False	ENCDO151OJB	female	adult	88	year	European	Homo sapiens	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF830OPW	fastq	reads		single-ended			94c21fb28f10185e9aa1f107daf63420	released	286748877	Illumina NextSeq 500	1	2	1	1_2	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF830OPW/@@download/ENCFF830OPW.fastq.gz	https://www.encodeproject.org/files/ENCFF830OPW/@@download/ENCFF830OPW.fastq.gz						true
ENCSR119XNK	False	ENCSR683VJG			Histone ChIP-seq	Homo sapiens right lobe of liver tissue female child (16 years)	Bradley Bernstein, Broad	ENCODE4	2022-06-09	released	GEO:GSE208895	child 16 years	False	ENCDO575EGL	female	child	16	year	European	Homo sapiens	UBERON:0001114	right lobe of liver	tissue	endocrine gland,liver,exocrine gland		endoderm	endocrine system,exocrine system,digestive system	right liver lobe,lobus hepaticus dexter,liver right lobe	H3K27ac	H3K27ac (Homo sapiens)	ENCFF102QNN	fastq	reads		single-ended			9f83d0964974cd1d8fe8421c3cb525ff	released	430540225	Illumina NextSeq 500	1	2	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF102QNN/@@download/ENCFF102QNN.fastq.gz	https://www.encodeproject.org/files/ENCFF102QNN/@@download/ENCFF102QNN.fastq.gz						true
ENCSR119XNK	False	ENCSR683VJG			Histone ChIP-seq	Homo sapiens right lobe of liver tissue female child (16 years)	Bradley Bernstein, Broad	ENCODE4	2022-06-09	released	GEO:GSE208895	child 16 years	False	ENCDO575EGL	female	child	16	year	European	Homo sapiens	UBERON:0001114	right lobe of liver	tissue	endocrine gland,liver,exocrine gland		endoderm	endocrine system,exocrine system,digestive system	right liver lobe,lobus hepaticus dexter,liver right lobe	H3K27ac	H3K27ac (Homo sapiens)	ENCFF431CEU	fastq	reads		single-ended			1564bf9682d3e74eafb8c6c6d66c19c7	released	430170841	Illumina NextSeq 500	1	2	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF431CEU/@@download/ENCFF431CEU.fastq.gz	https://www.encodeproject.org/files/ENCFF431CEU/@@download/ENCFF431CEU.fastq.gz						true
ENCSR119XNK	False	ENCSR683VJG			Histone ChIP-seq	Homo sapiens right lobe of liver tissue female child (16 years)	Bradley Bernstein, Broad	ENCODE4	2022-06-09	released	GEO:GSE208895	child 16 years	False	ENCDO575EGL	female	child	16	year	European	Homo sapiens	UBERON:0001114	right lobe of liver	tissue	endocrine gland,liver,exocrine gland		endoderm	endocrine system,exocrine system,digestive system	right liver lobe,lobus hepaticus dexter,liver right lobe	H3K27ac	H3K27ac (Homo sapiens)	ENCFF647MXM	fastq	reads		single-ended			4a72e199282dd6d1f499110ae43aee32	released	402350154	Illumina NextSeq 500	1	2	1	1_1	Rep 1	unreplicated	https://www.encodeproject.org/files/ENCFF647MXM/@@download/ENCFF647MXM.fastq.gz	https://www.encodeproject.org/files/ENCFF647MXM/@@download/ENCFF647MXM.fastq.gz						true
