experiment_accession	is_control	matched_control	target_label	assay_title	description	lab	biosample_term_id	biosample_term_name	classification	organ_slims	cell_slims	developmental_slims	system_slims	organism	donor_accession	donor_sex	donor_life_stage	donor_age	donor_age_units	donor_ethnicity	run_type	platform	bio_replicate_count	tech_replicate_count	replication_type	date_released	status_exp	n_fastq_files	total_bytes
ENCSR518COE	True			Control ChIP-seq	Homo sapiens dorsolateral prefrontal cortex tissue female adult (78 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO236YSH	female	adult	78	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-04-12	released	12	3157577464.0
ENCSR519CFV	False	ENCSR201KGX	H3K27ac	Histone ChIP-seq	Homo sapiens aorta tissue male adult (34 years)	Bing Ren, UCSD	UBERON:0000947	aorta	tissue	arterial blood vessel,vasculature,blood vessel		mesoderm	circulatory system	Homo sapiens	ENCDO058AAA	male	adult	34	year	European	single-ended	Illumina Genome Analyzer	1	1	unreplicated	2013-07-31	released	1	1697586769.0
ENCSR519UXW	True			Control ChIP-seq	Homo sapiens heart right ventricle tissue female adult (46 years)	Bradley Bernstein, Broad	UBERON:0002080	heart right ventricle	tissue	heart		mesoderm	circulatory system	Homo sapiens	ENCDO411EVD	female	adult	46	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2020-07-06	released	8	2517336330.0
ENCSR520BIM	False	ENCSR888RBQ	H3K27ac	Histone ChIP-seq	Homo sapiens body of pancreas tissue male adult (37 years)	Bradley Bernstein, Broad	UBERON:0001150	body of pancreas	tissue	pancreas		endoderm		Homo sapiens	ENCDO845WKR	male	adult	37	year		single-ended	Illumina HiSeq 2500	2	3	isogenic	2016-07-28	released	3	4549760807.0
ENCSR520KVD	False	ENCSR874WOQ	H3K27ac	Histone ChIP-seq	Homo sapiens dorsolateral prefrontal cortex tissue female adult (90 or above years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO250PFZ	female	adult	90 or above	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	8	2627984903.0
ENCSR522MTS	False	ENCSR147KFH	H3K27ac	Histone ChIP-seq	Homo sapiens esophagus muscularis mucosa tissue male adult (37 years)	Bradley Bernstein, Broad	UBERON:0004648	esophagus muscularis mucosa	tissue	musculature of body,esophagus		mesoderm	musculature,digestive system	Homo sapiens	ENCDO845WKR	male	adult	37	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2019-08-01	released	4	4487772476.0
ENCSR524MPL	False	ENCSR613JAK	H3K27ac	Histone ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (90 or above years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO660TGP	female	adult	90 or above	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-05-06	released	8	4415366342.0
ENCSR524NCH	True			Control ChIP-seq	Homo sapiens sigmoid colon tissue male adult (54 years)	Bradley Bernstein, Broad	UBERON:0001159	sigmoid colon	tissue	colon,intestine,large intestine		endoderm	digestive system	Homo sapiens	ENCDO451RUA	male	adult	54	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2019-02-08	released	6	5732940767.0
ENCSR526EXI	True			Control ChIP-seq	Homo sapiens heart left ventricle tissue female adult (53 years)	Bradley Bernstein, Broad	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	Homo sapiens	ENCDO793LXB	female	adult	53	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2016-11-03	released	4	8830248283.0
ENCSR526RGE	False	ENCSR704JMY	H3K27ac	Histone ChIP-seq	Homo sapiens placental basal plate tissue female embryo (40 weeks)	Joseph Costello, UCSF	NTR:0003013	placental basal plate	tissue	placenta,extraembryonic component		mesoderm	reproductive system	Homo sapiens	ENCDO651ROT	female	embryonic	40	week	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	4	4846553802.0
ENCSR528SMB	True			Control ChIP-seq	Homo sapiens foreskin keratinocyte male newborn (2-4 days) treated with 1.2 mM calcium for 5.5 days	Michael Snyder, Stanford	CL:1001606	foreskin keratinocyte	primary cell	epithelium,penis,skin of body	keratinocyte,epithelial cell	mesoderm,ectoderm	reproductive system,integumental system	Homo sapiens	ENCDO615NVN	male	newborn	2-4	day		paired-ended	Illumina HiSeq 4000	2	2	anisogenic	2017-10-10	released	2	6424691906.0
ENCSR529OPX	True			Control ChIP-seq	Homo sapiens with squamous cell carcinoma; skin epidermis tissue female adult (71 years)	Bradley Bernstein, Broad	UBERON:0001003	skin epidermis	tissue	epithelium,skin of body		ectoderm	integumental system	Homo sapiens	ENCDO588YPS	female	adult	71	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2020-09-03	released	2	3698569140.0
ENCSR529SWW	True			Control ChIP-seq	Homo sapiens H9	Bing Ren, UCSD	EFO:0003045	H9	cell line	embryo	embryonic cell,stem cell			Homo sapiens	ENCDO222AAA	female	embryonic	5	day		single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	1	1536464032.0
ENCSR531AUV	True			Control ChIP-seq	Homo sapiens suprapubic skin tissue male adult (37 years)	Bradley Bernstein, Broad	UBERON:0036149	suprapubic skin	tissue	skin of body		ectoderm	integumental system	Homo sapiens	ENCDO845WKR	male	adult	37	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2019-09-06	released	6	3340502002.0
ENCSR531MLI	False		H3K27ac	Histone ChIP-seq	Homo sapiens dendritic cell treated with 100 ng/mL lipopolysaccharide for 6 hours	Manuel Garber, UMass	CL:0000451	dendritic cell	in vitro differentiated cells		leukocyte,hematopoietic cell	mesoderm,endoderm	immune system	Homo sapiens	ENCDO088XVR	unknown	unknown	unknown			paired-ended	Illumina NextSeq 500	1	1	unreplicated	2017-01-19	released	1	926049569.0
ENCSR531VWS	False	ENCSR465UAX	H3K27ac	Histone ChIP-seq	Homo sapiens with basal cell carcinoma; skin epidermis tissue male adult (77 years)	Bradley Bernstein, Broad	UBERON:0001003	skin epidermis	tissue	epithelium,skin of body		ectoderm	integumental system	Homo sapiens	ENCDO739SDJ	male	adult	77	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2020-09-10	released	4	2121531783.0
ENCSR532SRK	False	ENCSR058XPK	H3K27ac	Histone ChIP-seq	Homo sapiens dorsolateral prefrontal cortex tissue male adult (83 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO592ZWW	male	adult	83	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	12	1949290700.0
ENCSR534CZJ	True			Control ChIP-seq	Homo sapiens HUES6	Bradley Bernstein, Broad	EFO:0007086	HUES6	cell line	embryo	embryonic cell,stem cell			Homo sapiens	ENCDO734LQV	female	embryonic				single-ended	Illumina Genome Analyzer IIx	1	1	unreplicated	2013-07-31	released	1	1738628550.0
ENCSR534KYQ	True			Control ChIP-seq	Homo sapiens with Alzheimer's disease, Cognitive impairment; dorsolateral prefrontal cortex tissue male adult (87 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO776JEI	male	adult	87	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-06-21	released	12	3376749531.0
