sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
GSM1131250,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1131250/fastq/SRR836099.fastq.gz,,1,H3K27ac,GSM1131262,1
GSM1131262,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1131262/fastq/SRR836111.fastq.gz,,1,,,
GSM1131252,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1131252/fastq/SRR836101.fastq.gz,,1,H3K27ac,GSM1131263,1
GSM1131263,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1131263/fastq/SRR836112.fastq.gz,,1,,,
GSM1180208,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1180208/fastq/SRR925675.fastq.gz,,1,H3K27ac,GSM1180211,1
GSM1180211,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1180211/fastq/SRR925678.fastq.gz,,1,,,
GSM1202714,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1202714/fastq/SRR948810.fastq.gz,,1,H3K27ac,GSM1202724,1
GSM1202724,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1202724/fastq/SRR948824.fastq.gz,,1,,,
GSM1218881,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1218881/fastq/SRR959060.fastq.gz,,1,H3K27ac,GSM1218885,1
GSM1218885,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1218885/fastq/SRR959064.fastq.gz,,1,,,
GSM1218882,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1218882/fastq/SRR959061.fastq.gz,,1,H3K27ac,GSM1218886,1
GSM1218886,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1218886/fastq/SRR959065.fastq.gz,,1,,,
GSM1218883,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1218883/fastq/SRR959062.fastq.gz,,1,H3K27ac,GSM1218887,1
GSM1218887,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1218887/fastq/SRR959066.fastq.gz,,1,,,
GSM1218884,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1218884/fastq/SRR959063.fastq.gz,,1,H3K27ac,GSM1218888,1
GSM1218888,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1218888/fastq/SRR959067.fastq.gz,,1,,,
GSM1219529,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1219529/fastq/SRR959517.fastq.gz,,1,H3K27ac,GSM1219531,1
GSM1219531,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1219531/fastq/SRR959519.fastq.gz,,1,,,
GSM1219530,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1219530/fastq/SRR959518.fastq.gz,,1,H3K27ac,GSM1219532,1
GSM1219532,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1219532/fastq/SRR959520.fastq.gz,,1,,,
GSM1219703,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1219703/fastq/SRR959916.fastq.gz,,1,H3K27ac,GSM1219707,1
GSM1219707,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1219707/fastq/SRR959920.fastq.gz,,1,,,
GSM1219704,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1219704/fastq/SRR959917.fastq.gz,,1,H3K27ac,GSM1219708,1
GSM1219708,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1219708/fastq/SRR959921.fastq.gz,,1,,,
GSM1219705,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1219705/fastq/SRR959918.fastq.gz,,1,H3K27ac,GSM1219709,1
GSM1219709,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1219709/fastq/SRR959922.fastq.gz,,1,,,
GSM1219706,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1219706/fastq/SRR959919.fastq.gz,,1,H3K27ac,GSM1219710,1
GSM1219710,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1219710/fastq/SRR959923.fastq.gz,,1,,,
GSM1220838,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1220838/fastq/SRR961618.fastq.gz,,1,H3K27ac,GSM1220852,1
GSM1220852,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1220852/fastq/SRR961632.fastq.gz,,1,,,
